OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4445,2022-099K,2022-08-29T16:00:00.999936,15.65609134,.0001841,97.6557,0.4674,57.7227,14.6565,0,U,53474,999,288,-.13366E-1,-.1207137E-1,0
STARLINK-4389,2022-099L,2022-08-29T16:00:00.999936,15.65604263,.0001749,97.6559,0.4684,60.6099,9.8347,0,U,53475,999,288,-.13638E-1,-.1229001E-1,0
STARLINK-4378,2022-099M,2022-08-29T16:00:00.999936,15.65579074,.0001617,97.6561,0.4681,69.3254,359.1937,0,U,53476,999,288,-.13586E-1,-.1223609E-1,0
STARLINK-4412,2022-099N,2022-08-29T16:00:00.999936,15.65596997,.0001853,97.6559,0.4682,61.9753,9.7644,0,U,53477,999,288,-.13292E-1,-.1200581E-1,0
STARLINK-4433,2022-099P,2022-08-29T16:00:00.999936,15.65590124,.0001723,97.6559,0.4683,67.2381,1.9217,0,U,53478,999,288,-.13647E-1,-.1229092E-1,0
STARLINK-4436,2022-099Q,2022-08-29T16:00:00.999936,15.65616207,.000187,97.6557,0.4679,56.9451,16.0762,0,U,53479,999,288,-.1336E-1,-.1206969E-1,0
STARLINK-4442,2022-099R,2022-08-29T16:00:00.999936,15.65600919,.0001841,97.6561,0.4682,57.5250,13.5672,0,U,53480,999,288,-.13472E-1,-.1215407E-1,0
STARLINK-4302,2022-099S,2022-08-29T16:00:00.999936,15.65630885,.0001934,97.6557,0.4681,51.7184,22.5864,0,U,53481,999,288,-.13358E-1,-.1207475E-1,0
STARLINK-4360,2022-099T,2022-08-29T16:00:00.999936,15.65622814,.0001997,97.6557,0.4677,47.9263,25.7372,0,U,53482,999,288,-.13349E-1,-.1206416E-1,0
STARLINK-4401,2022-099U,2022-08-29T16:00:00.999936,15.65652142,.0001836,97.6557,0.4680,58.3572,17.8729,0,U,53483,999,288,-.13343E-1,-.1207138E-1,0
STARLINK-4426,2022-099V,2022-08-29T16:00:00.999936,15.65637942,.0001608,97.6556,0.4678,95.0992,339.8472,0,U,53484,999,288,-.13347E-1,-.1206749E-1,0
STARLINK-4430,2022-099W,2022-08-29T16:00:00.999936,15.65666011,.0001985,97.6557,0.4682,48.6970,28.8165,0,U,53485,999,288,-.13329E-1,-.1206665E-1,0
STARLINK-4431,2022-099X,2022-08-29T16:00:00.999936,15.65644808,.00018,97.6557,0.4680,60.7579,14.8306,0,U,53486,999,288,-.13344E-1,-.1206884E-1,0
STARLINK-4432,2022-099Y,2022-08-29T16:00:00.999936,15.65692200,.0001891,97.6557,0.4689,52.4872,26.3026,0,U,53487,999,288,-.13497E-1,-.1221488E-1,0
STARLINK-4421,2022-099Z,2022-08-29T16:00:00.999936,15.65668700,.0001791,97.6558,0.4688,58.7312,18.1351,0,U,53488,999,288,-.13474E-1,-.1218532E-1,0
STARLINK-4392,2022-099AA,2022-08-29T16:00:00.999936,15.65737525,.0001815,97.6558,0.4694,56.1717,23.8859,0,U,53489,999,288,-.13986E-1,-.1263245E-1,0
STARLINK-4387,2022-099AB,2022-08-29T16:00:00.999936,15.65684215,.0001859,97.6559,0.4687,56.9986,21.1501,0,U,53490,999,288,-.13485E-1,-.1220142E-1,0
STARLINK-4450,2022-099AC,2022-08-29T16:00:00.999936,15.65716159,.0001831,97.6560,0.4691,57.5209,23.8364,0,U,53491,999,288,-.13415E-1,-.1215824E-1,0
STARLINK-4451,2022-099AD,2022-08-29T16:00:00.999936,15.65706205,.0001914,97.6559,0.4689,54.7439,24.6845,0,U,53492,999,288,-.13612E-1,-.1231491E-1,0
STARLINK-4361,2022-099AE,2022-08-29T16:00:00.999936,15.65747535,.0001646,97.6558,0.4690,67.5253,15.1044,0,U,53493,999,288,-.13655E-1,-.123672E-1,0
STARLINK-4340,2022-099AF,2022-08-29T16:00:00.999936,15.65723473,.0001923,97.6557,0.4689,52.9520,27.7562,0,U,53494,999,288,-.13632E-1,-.1233894E-1,0
STARLINK-4429,2022-099AG,2022-08-29T16:00:00.999936,15.65782608,.0001798,97.6557,0.4697,61.7321,22.1706,0,U,53495,999,289,-.13997E-1,-.1266185E-1,0
STARLINK-4465,2022-099AH,2022-08-29T16:00:00.999936,15.65769173,.0001719,97.6559,0.4692,69.6231,12.3527,0,U,53496,999,288,-.14132E-1,-.1276475E-1,0
STARLINK-4453,2022-099AJ,2022-08-29T16:00:00.999936,15.65771845,.0001881,97.6557,0.4694,54.5131,30.6831,0,U,53497,999,289,-.13595E-1,-.1233015E-1,0
STARLINK-4439,2022-099AK,2022-08-29T16:00:00.999936,15.65746288,.0001795,97.6558,0.4692,56.2579,27.0181,0,U,53498,999,288,-.13542E-1,-.1227513E-1,0
STARLINK-4454,2022-099AL,2022-08-29T16:00:00.999936,15.65776505,.0001818,97.6558,0.4697,55.9435,29.8945,0,U,53499,999,288,-.13551E-1,-.1229601E-1,0
STARLINK-4455,2022-099AM,2022-08-29T16:00:00.999936,15.65758429,.0001785,97.6559,0.4692,58.6420,25.9166,0,U,53500,999,289,-.135E-1,-.1224617E-1,0
STARLINK-4434,2022-099AN,2022-08-29T16:00:00.999936,15.65804423,.0001868,97.6558,0.4700,54.4262,33.3300,0,U,53501,999,288,-.1364E-1,-.1238139E-1,0
STARLINK-4435,2022-099AP,2022-08-29T16:00:00.999936,15.65785227,.0001783,97.6557,0.4695,62.8149,23.6627,0,U,53502,999,288,-.1357E-1,-.1231526E-1,0
STARLINK-4461,2022-099AQ,2022-08-29T16:00:00.999936,15.65810740,.0001701,97.6557,0.4698,68.6265,19.7703,0,U,53503,999,288,-.13622E-1,-.1236877E-1,0
STARLINK-4448,2022-099AR,2022-08-29T16:00:00.999936,15.65788636,.0001748,97.6558,0.4694,61.4727,25.6473,0,U,53504,999,288,-.13508E-1,-.1226594E-1,0
STARLINK-4446,2022-099AS,2022-08-29T16:00:00.999936,15.65714866,.000169,97.6558,0.4701,65.8567,24.5213,0,U,53505,999,288,-.11822E-1,-.1067476E-1,0
STARLINK-4437,2022-099AT,2022-08-29T16:00:00.999936,15.65860772,.0001916,97.6558,0.4697,62.5901,26.4249,0,U,53506,999,288,-.14269E-1,-.12919E-1,0
STARLINK-4444,2022-099AU,2022-08-29T16:00:00.999936,15.65836052,.0001797,97.6557,0.4700,60.3144,30.6445,0,U,53507,999,288,-.13552E-1,-.1232325E-1,0
STARLINK-4443,2022-099AV,2022-08-29T16:00:00.999936,15.65819136,.0001844,97.6559,0.4698,55.4971,34.1831,0,U,53508,999,288,-.13521E-1,-.1229055E-1,0
STARLINK-4402,2022-099AW,2022-08-29T16:00:00.999936,15.65845952,.0001847,97.6558,0.4701,55.6202,36.6208,0,U,53509,999,288,-.13476E-1,-.1226562E-1,0
STARLINK-4441,2022-099AX,2022-08-29T16:00:00.999936,15.65840284,.000191,97.6558,0.4697,58.5712,33.0292,0,U,53510,999,288,-.13505E-1,-.1228715E-1,0
FALCON 9 DEB,2022-099AY,2022-08-29T09:30:30.479904,15.89569153,.0009816,97.6792,0.5575,220.9676,139.0859,0,U,53511,999,262,.44371E-3,.128949E-2,.83004E-5
FALCON 9 DEB,2022-099AZ,2022-08-29T09:23:49.551072,15.90170422,.0007383,97.6770,0.5586,217.5752,142.5005,0,U,53512,999,262,.47096E-3,.140876E-2,.94968E-5
FALCON 9 DEB,2022-099BA,2022-08-29T13:37:59.744640,15.91616686,.0010481,97.6733,0.7811,200.9773,159.1071,0,U,53513,999,265,.57993E-3,.187433E-2,.15246E-4
FALCON 9 DEB,2022-099BB,2022-08-29T13:33:45.011520,15.91850773,.0009768,97.6717,0.7820,185.2922,174.8249,0,U,53514,999,265,.5549E-3,.18137E-2,.14452E-4
2022-100A,2022-100A,2022-08-29T10:00:30.959136,15.22802582,.0007815,35.0009,146.8483,344.4141,15.6339,0,U,53522,999,148,.24591E-3,.5861E-4,0
2022-100B,2022-100B,2022-08-29T08:22:01.352064,15.23473865,.0008381,35.0016,147.2367,347.4307,12.6199,0,U,53523,999,147,.39544E-3,.9645E-4,0
2022-100C,2022-100C,2022-08-29T05:49:14.718144,15.22840110,.0005955,35.0013,147.9019,342.1977,156.9686,0,U,53524,999,140,.2907E-3,.6942E-4,0
2022-100D,2022-100D,2022-08-29T09:53:25.374336,15.23799574,.0008551,35.0029,146.8111,356.2917,3.7748,0,U,53525,999,143,.33343E-3,.8205E-4,0
2022-100E,2022-100E,2022-08-29T09:58:27.517728,15.22727669,.0005799,35.0029,146.8399,351.9933,8.0683,0,U,53526,999,143,.15953E-3,.3778E-4,0
STARLINK-4511,2022-101A,2022-08-29T14:00:01.000224,15.76555957,.0003241,53.2176,106.2989,4.2877,161.1514,0,U,53527,999,130,-.82878E-2,-.1196304E-1,0
STARLINK-4503,2022-101B,2022-08-29T14:00:01.000224,15.76543204,.0003285,53.2176,106.3010,353.4003,171.5076,0,U,53528,999,130,-.83115E-2,-.1198762E-1,0
STARLINK-4478,2022-101C,2022-08-29T14:00:01.000224,15.76572754,.0003187,53.2176,106.2981,359.8646,166.0963,0,U,53529,999,130,-.82923E-2,-.1197644E-1,0
STARLINK-4482,2022-101D,2022-08-29T14:00:01.000224,15.76608605,.0003232,53.2176,106.2967,356.4278,170.5609,0,U,53530,999,130,-.82884E-2,-.1198878E-1,0
STARLINK-4487,2022-101E,2022-08-29T14:00:01.000224,15.76591290,.0003238,53.2176,106.2971,355.9049,170.5682,0,U,53531,999,130,-.82936E-2,-.1198725E-1,0
STARLINK-4483,2022-101F,2022-08-29T14:00:01.000224,15.76624844,.0003229,53.2176,106.2956,357.3774,170.1304,0,U,53532,999,130,-.82804E-2,-.1198621E-1,0
